Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Walmart,1185732,43952,Northeast,New York,New York,Men's Apparel,65,1970-01-01 03:00:00.875000,568750,170625,0.3,Outlet
Walmart,1185732,43953,Northeast,New York,New York,Women's Apparel,70,975,1970-01-01 03:11:22.500000,170625,0.25,Outlet
Walmart,1185732,43954,Northeast,New York,New York,Men's Street Footwear,65,1200,780000,1970-01-01 03:06:30,0.5,Outlet
Walmart,1185732,43955,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000,550000.0000000001,165000.00000000003,1970-01-01 03:00:00,Outlet
Walmart,1185732,2020-05-05 00:00:00,Northeast,New York,New York,Women's Street Footwear,55.00000000000001,950,522500.00000000006,182875,0.35,Outlet
Walmart,1185732,2020-05-06 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,55.00000000000001,900,495000.00000000006,173250,0.35,Outlet
Walmart,1185732,2020-05-07 00:00:00,Northeast,New York,New York,Men's Apparel,65,900,585000,175500,0.3,Outlet
Walmart,1970-01-01 03:19:45.732000,2020-07-18 00:00:00,Northeast,New York,New York,Women's Apparel,70,1000,700000,175000,0.25,Outlet
Sports Direct,1197831,2020-07-19 00:00:00,Northeast,New York,New York,Men's Street Footwear,25,900,225000,78750,0.35,Outlet
Sports Direct,1197831,44032,Northeast,New York,New York,Men's Athletic Footwear,35,900,315000,110250,0.35,Outlet
Sports Direct,1197831,2020-07-21 00:00:00,Northeast,New York,New York,Women's Street Footwear,35,700,245000,85750,0.35,Outlet
Sports Direct,1197831,2020-07-22 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,35,700,245000,110250,0.45,Outlet
Sports Direct,1197831,2020-07-23 00:00:00,South,Texas,Houston,Men's Apparel,40,550,220000,66000,0.3,Outlet
Sports Direct,1197831,44036,South,Texas,Houston,Women's Apparel,1970-01-01 03:00:00.035000,700,245000,122500,0.5,Outlet
Sports Direct,1197831,44037,South,Texas,Houston,Men's Street Footwear,25,1970-01-01 03:00:00.850000,212500,74375,0.35,Outlet
Sports Direct,1197831,44038,South,Texas,Houston,Men's Athletic Footwear,35,850,1970-01-01 03:04:57.500000,104125,0.35,Outlet
Sports Direct,1197831,44039,South,Texas,Houston,Women's Street Footwear,35,675,236250,1970-01-01 03:01:22.687000,0.35,Outlet
Sports Direct,1197831,44040,South,Texas,Houston,Women's Athletic Footwear,35,625,218750,98437.5,1970-01-01 03:00:00,Outlet
Sports Direct,1197831,2020-07-29 00:00:00,South,Texas,Houston,Men's Apparel,40,500,200000,60000,0.3,Outlet
Sports Direct,1197831,2020-07-30 00:00:00,South,Texas,Houston,Women's Apparel,35,700,245000,122500,0.5,Outlet
Sports Direct,1197831,2020-07-31 00:00:00,South,Texas,Houston,Men's Street Footwear,30,875,262500,91875,0.35,Outlet
Sports Direct,1970-01-01 03:19:57.831000,2020-08-01 00:00:00,South,Texas,Houston,Men's Athletic Footwear,40,875,350000,122499.99999999999,0.35,Outlet
Sports Direct,1197831,2020-08-02 00:00:00,South,Texas,Houston,Women's Street Footwear,35,700,245000,85750,0.35,Outlet
Sports Direct,1197831,44046,South,Texas,Houston,Women's Athletic Footwear,40,600,240000,108000,0.45,Outlet
Sports Direct,1197831,2020-08-04 00:00:00,South,Texas,Houston,Men's Apparel,45,500,225000,67500,0.3,Outlet
Sports Direct,1197831,2020-08-05 00:00:00,South,Texas,Houston,Women's Apparel,40,650,260000,130000,0.5,Outlet
Sports Direct,1197831,2020-08-06 00:00:00,South,Texas,Houston,Men's Street Footwear,30,900,270000,94500,0.35,Outlet
Sports Direct,1197831,44050,South,Texas,Houston,Men's Athletic Footwear,1970-01-01 03:00:00.040000,900,360000,125999.99999999999,0.35,Outlet
Sports Direct,1197831,44051,South,Texas,Houston,Women's Street Footwear,35,1970-01-01 03:00:00.725000,253750,88812.5,0.35,Outlet
Sports Direct,1197831,44052,South,Texas,Houston,Women's Athletic Footwear,40,625,1970-01-01 03:04:10,112500,0.45,Outlet
Walmart,1197831,44053,South,Texas,Houston,Men's Apparel,45,525,236250,1970-01-01 03:01:10.875000,0.3,Outlet
Walmart,1197831,44054,South,Texas,Houston,Women's Apparel,40,800,320000,160000,1970-01-01 03:00:00,Outlet
Walmart,1197831,2020-08-12 00:00:00,South,Texas,Houston,Men's Street Footwear,30,925,277500,97125,0.35,Outlet
Walmart,1197831,2020-08-13 00:00:00,South,Texas,Houston,Men's Athletic Footwear,40,925,370000,129499.99999999999,0.35,Outlet
Walmart,1197831,2020-08-14 00:00:00,South,Texas,Houston,Women's Street Footwear,35,775,271250,94937.5,0.35,Outlet
Walmart,1970-01-01 03:19:57.831000,2020-08-15 00:00:00,South,Texas,Houston,Women's Athletic Footwear,40,700,280000,126000,0.45,Outlet
Walmart,1197831,2020-08-16 00:00:00,South,Texas,Houston,Men's Apparel,45,600,270000,81000,0.3,Outlet
Walmart,1197831,44060,South,Texas,Houston,Women's Apparel,40,950,380000,190000,0.5,Outlet
Walmart,1197831,2020-08-18 00:00:00,South,Texas,Houston,Men's Street Footwear,40,950,380000,133000,0.35,Outlet
Walmart,1197831,2020-08-19 00:00:00,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,0.35,Outlet
Walmart,1197831,2020-08-20 00:00:00,South,Texas,Houston,Women's Street Footwear,40,800,320000,112000,0.35,Outlet
Walmart,1197831,44064,South,Texas,Houston,Women's Athletic Footwear,1970-01-01 03:00:00.040000,750,300000,135000,0.45,Outlet
Walmart,1197831,44065,South,Texas,Houston,Men's Apparel,45,1970-01-01 03:00:00.650000,292500,87750,0.3,Outlet
Walmart,1197831,44066,South,Texas,Houston,Women's Apparel,50,1000,1970-01-01 03:08:20,250000,0.5,Outlet
Walmart,1197831,44067,South,Texas,Houston,Men's Street Footwear,40,950,380000,1970-01-01 03:02:13,0.35,Outlet
Walmart,1197831,44068,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,1970-01-01 03:00:00,Outlet
Walmart,1197831,2020-08-26 00:00:00,South,Texas,Houston,Women's Street Footwear,40,1100,440000,154000,0.35,Outlet
Walmart,1197831,2020-08-27 00:00:00,South,Texas,Houston,Women's Athletic Footwear,40,700,280000,126000,0.45,Outlet
Walmart,1197831,2020-08-28 00:00:00,South,Texas,Houston,Men's Apparel,45,700,315000,94500,0.3,Outlet
Walmart,1970-01-01 03:19:57.831000,2020-08-29 00:00:00,South,Texas,Houston,Women's Apparel,50,975,487500,243750,0.5,Outlet
Walmart,1197831,2020-08-30 00:00:00,South,Texas,Houston,Men's Street Footwear,40,925,370000,129499.99999999999,0.35,Outlet
Walmart,1197831,44074,South,Texas,Houston,Men's Athletic Footwear,45,925,416250,145687.5,0.35,Outlet
Walmart,1197831,2020-09-01 00:00:00,South,Texas,Houston,Women's Street Footwear,40,1100,440000,154000,0.35,Outlet
Walmart,1197831,2020-09-02 00:00:00,South,Texas,Houston,Women's Athletic Footwear,40,650,260000,117000,0.45,Outlet
Walmart,1197831,2020-09-03 00:00:00,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet
Walmart,1197831,44078,South,Texas,Houston,Women's Apparel,1970-01-01 03:00:00.050000,900,450000,225000,0.5,Outlet
Walmart,1197831,44079,South,Texas,Houston,Men's Street Footwear,45,1970-01-01 03:00:00.850000,382500,133875,0.35,Outlet
Walmart,1197831,44080,South,Texas,Houston,Men's Athletic Footwear,45,850,1970-01-01 03:06:22.500000,133875,0.35,Outlet
Walmart,1197831,44081,South,Texas,Houston,Women's Street Footwear,50,900,450000,1970-01-01 03:02:37.500000,0.35,Outlet
Walmart,1197831,44082,South,Texas,Houston,Women's Athletic Footwear,50,625,312500,140625,1970-01-01 03:00:00,Outlet
Walmart,1197831,2020-09-09 00:00:00,South,Texas,Houston,Men's Apparel,45,625,281250,84375,0.3,Outlet
Walmart,1197831,2020-09-10 00:00:00,South,Texas,Houston,Women's Apparel,55.00000000000001,850,467500.00000000006,233750.00000000003,0.5,Outlet
Walmart,1197831,2020-09-11 00:00:00,South,Texas,Houston,Men's Street Footwear,45,800,360000,125999.99999999999,0.35,Outlet
Walmart,1970-01-01 03:19:57.831000,2020-09-12 00:00:00,South,Texas,Houston,Men's Athletic Footwear,45,800,360000,125999.99999999999,0.35,Outlet
Walmart,1197831,2020-09-13 00:00:00,South,Texas,Houston,Women's Street Footwear,50,750,375000,131250,0.35,Outlet
Walmart,1197831,44088,South,Texas,Houston,Women's Athletic Footwear,50,600,300000,135000,0.45,Outlet
Walmart,1197831,2020-09-15 00:00:00,South,Texas,Houston,Men's Apparel,45,575,258750,77625,0.3,Outlet
Walmart,1197831,2020-09-16 00:00:00,South,Texas,Houston,Women's Apparel,55.00000000000001,750,412500.00000000006,206250.00000000003,0.5,Outlet
Walmart,1197831,2020-10-20 00:00:00,South,Texas,Houston,Men's Street Footwear,45,900,405000,141750,0.35,Outlet
Walmart,1197831,44125,South,Texas,Houston,Men's Athletic Footwear,1970-01-01 03:00:00.045000,900,405000,141750,0.35,Outlet
Walmart,1197831,44126,South,Texas,Houston,Women's Street Footwear,50,1970-01-01 03:00:00.825000,412500,144375,0.35,Outlet
Walmart,1197831,44127,South,Texas,Houston,Women's Athletic Footwear,50,675,1970-01-01 03:05:37.500000,151875,0.45,Outlet
Walmart,1197831,44128,South,Texas,Houston,Men's Apparel,45,650,292500,1970-01-01 03:01:27.750000,0.3,Outlet
Walmart,1197831,44129,South,Texas,Houston,Women's Apparel,55.00000000000001,850,467500.00000000006,233750.00000000003,1970-01-01 03:00:00,Outlet
Walmart,1197831,2020-10-26 00:00:00,South,Texas,Houston,Men's Street Footwear,45,950,427500,149625,0.35,Outlet
Walmart,1197831,2020-10-27 00:00:00,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,0.35,Outlet
Walmart,1197831,2020-10-28 00:00:00,South,Texas,Houston,Women's Street Footwear,50,850,425000,148750,0.35,Outlet
Walmart,1970-01-01 03:19:57.831000,2020-10-29 00:00:00,South,Texas,Houston,Women's Athletic Footwear,50,700,350000,157500,0.45,Outlet
Walmart,1197831,2020-10-30 00:00:00,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet
Walmart,1197831,44135,South,Texas,Houston,Women's Apparel,55.00000000000001,900,495000.00000000006,247500.00000000003,0.5,Outlet
West Gear,1128299,2020-11-01 00:00:00,South,Texas,Houston,Men's Street Footwear,40,775,310000,108500.00000000001,0.35000000000000003,Outlet
West Gear,1128299,2020-11-02 00:00:00,South,Texas,Houston,Men's Athletic Footwear,50,775,387500,77500,0.2,Outlet
West Gear,1128299,2020-11-03 00:00:00,South,Texas,Houston,Women's Street Footwear,50,775,387500,135625,0.35000000000000003,Outlet
West Gear,1128299,44139,South,Texas,Houston,Women's Athletic Footwear,1970-01-01 03:00:00.050000,625,312500,93750,0.3,Outlet
West Gear,1128299,44140,West,California,San Francisco,Men's Apparel,55.00000000000001,1970-01-01 03:00:00.575000,316250.00000000006,158125.00000000003,0.5,Outlet
West Gear,1128299,44141,West,California,San Francisco,Women's Apparel,50,775,1970-01-01 03:06:27.500000,58125.00000000001,0.15000000000000002,Outlet
West Gear,1128299,44142,West,California,San Francisco,Men's Street Footwear,40,825,330000,1970-01-01 03:01:55.500000,0.35000000000000003,Outlet
West Gear,1128299,44143,West,California,San Francisco,Men's Athletic Footwear,50,725,362500,72500,1970-01-01 03:00:00,Outlet
West Gear,1128299,2020-11-09 00:00:00,West,California,San Francisco,Women's Street Footwear,50,725,362500,126875.00000000001,0.35000000000000003,Outlet
West Gear,1128299,2020-11-10 00:00:00,West,California,San Francisco,Women's Athletic Footwear,50,575,287500,86250,0.3,Outlet
West Gear,1128299,2020-11-11 00:00:00,West,California,San Francisco,Men's Apparel,55.00000000000001,500,275000.00000000006,137500.00000000003,0.5,Outlet
West Gear,1970-01-01 03:18:48.299000,2020-11-12 00:00:00,West,California,San Francisco,Women's Apparel,50,700,350000,52500.00000000001,0.15000000000000002,Outlet
West Gear,1128299,2020-11-13 00:00:00,West,California,San Francisco,Men's Street Footwear,50,850,425000,148750,0.35000000000000003,Outlet
West Gear,1128299,44149,West,California,San Francisco,Men's Athletic Footwear,60,700,420000,84000,0.2,Outlet
West Gear,1128299,2020-11-15 00:00:00,West,California,San Francisco,Women's Street Footwear,60,700,420000,147000,0.35000000000000003,Outlet
West Gear,1128299,2020-12-22 00:00:00,West,California,San Francisco,Women's Athletic Footwear,60,600,360000,108000,0.3,Outlet
West Gear,1128299,2020-12-23 00:00:00,West,California,San Francisco,Men's Apparel,65,500,325000,162500,0.5,Outlet
West Gear,1128299,44189,West,California,San Francisco,Women's Apparel,1970-01-01 03:00:00.060000,700,420000,63000.00000000001,0.15000000000000002,Outlet
West Gear,1128299,44190,West,California,San Francisco,Men's Street Footwear,60,1970-01-01 03:00:00.875000,525000,183750.00000000003,0.35000000000000003,Outlet
West Gear,1128299,44191,West,California,San Francisco,Men's Athletic Footwear,65,675,1970-01-01 03:07:18.750000,87750,0.2,Outlet
West Gear,1128299,44192,West,California,San Francisco,Women's Street Footwear,65,725,471250,1970-01-01 03:02:44.937000,0.35000000000000003,Outlet
West Gear,1128299,44193,West,California,San Francisco,Women's Athletic Footwear,60,625,375000,112500,1970-01-01 03:00:00,Outlet
West Gear,1128299,2020-12-29 00:00:00,West,California,San Francisco,Men's Apparel,65,525,341250,170625,0.5,Outlet
West Gear,1128299,2020-12-30 00:00:00,West,California,San Francisco,Women's Apparel,80,700,560000,84000.00000000001,0.15000000000000002,Outlet
West Gear,1128299,2020-12-31 00:00:00,West,California,San Francisco,Men's Street Footwear,60,900,540000,216000,0.4,Outlet
West Gear,1970-01-01 03:18:48.299000,2021-01-01 00:00:00,West,California,San Francisco,Men's Athletic Footwear,65,750,487500,121875,0.25,Outlet
West Gear,1128299,2021-01-02 00:00:00,West,California,San Francisco,Women's Street Footwear,65,750,487500,195000,0.4,Outlet
West Gear,1128299,44199,West,California,San Francisco,Women's Athletic Footwear,60,650,390000,136500,0.35,Outlet
West Gear,1128299,2021-01-04 00:00:00,West,California,San Francisco,Men's Apparel,65,550,357500,196625.00000000003,0.55,Outlet
West Gear,1128299,2021-01-05 00:00:00,West,California,San Francisco,Women's Apparel,80,725,580000,116000,0.2,Outlet
West Gear,1128299,2021-01-06 00:00:00,West,California,San Francisco,Men's Street Footwear,60,975,585000,234000,0.4,Outlet
West Gear,1128299,44203,West,California,San Francisco,Men's Athletic Footwear,1970-01-01 03:00:00.065000,825,536250,134062.5,0.25,Outlet
West Gear,1128299,44204,West,California,San Francisco,Women's Street Footwear,65,1970-01-01 03:00:00.825000,536250,214500,0.4,Outlet
West Gear,1128299,44205,West,California,San Francisco,Women's Athletic Footwear,60,700,1970-01-01 03:07:00,147000,0.35,Outlet
West Gear,1128299,44206,West,California,San Francisco,Men's Apparel,65,575,373750,1970-01-01 03:03:25.562000,0.55,Outlet
West Gear,1128299,44207,West,California,San Francisco,Women's Apparel,80,875,700000,140000,1970-01-01 03:00:00,Outlet
West Gear,1128299,2021-01-12 00:00:00,West,California,San Francisco,Men's Street Footwear,60,1025,615000,215250.00000000003,0.35000000000000003,Outlet
West Gear,1128299,2021-01-13 00:00:00,West,California,San Francisco,Men's Athletic Footwear,65,875,568750,113750,0.2,Outlet
West Gear,1128299,2021-01-14 00:00:00,West,California,San Francisco,Women's Street Footwear,65,825,536250,187687.50000000003,0.35000000000000003,Outlet
West Gear,1970-01-01 03:18:48.299000,2021-01-15 00:00:00,West,California,San Francisco,Women's Athletic Footwear,60,725,435000,130500,0.3,Outlet
West Gear,1128299,2021-01-16 00:00:00,West,California,San Francisco,Men's Apparel,65,775,503750,251875,0.5,Outlet
West Gear,1128299,44213,West,California,San Francisco,Women's Apparel,80,775,620000,93000.00000000001,0.15000000000000002,Outlet
West Gear,1128299,2021-01-18 00:00:00,West,California,San Francisco,Men's Street Footwear,65,975,633750,221812.50000000003,0.35000000000000003,Outlet
West Gear,1128299,2021-01-19 00:00:00,West,California,San Francisco,Men's Athletic Footwear,70,925,647500,129500,0.2,Outlet
West Gear,1128299,2021-01-20 00:00:00,West,California,San Francisco,Women's Street Footwear,65,800,520000,182000.00000000003,0.35000000000000003,Outlet
West Gear,1128299,44217,West,California,San Francisco,Women's Athletic Footwear,1970-01-01 03:00:00.065000,750,487500,146250,0.3,Outlet
West Gear,1128299,44218,West,California,San Francisco,Men's Apparel,75,1970-01-01 03:00:00.750000,562500,281250,0.5,Outlet
West Gear,1128299,44219,West,California,San Francisco,Women's Apparel,80,725,1970-01-01 03:09:40,87000.00000000001,0.15000000000000002,Outlet
West Gear,1128299,44220,West,California,San Francisco,Men's Street Footwear,55.00000000000001,925,508750.00000000006,1970-01-01 03:02:32.625000,0.30000000000000004,Outlet
West Gear,1128299,44221,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,925,555000.0000000001,83250.00000000001,1970-01-01 03:00:00,Outlet
West Gear,1128299,2021-01-26 00:00:00,West,California,San Francisco,Women's Street Footwear,55.00000000000001,775,426250.00000000006,127875.00000000004,0.30000000000000004,Outlet
West Gear,1128299,2021-01-27 00:00:00,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,725,398750.00000000006,99687.5,0.24999999999999997,Outlet
West Gear,1128299,2021-01-28 00:00:00,West,California,San Francisco,Men's Apparel,65,725,471250,212062.50000000003,0.45000000000000007,Outlet
West Gear,1970-01-01 03:18:48.299000,2021-01-29 00:00:00,West,California,San Francisco,Women's Apparel,70,775,542500,54250,0.1,Outlet
West Gear,1128299,2021-01-30 00:00:00,West,California,San Francisco,Men's Street Footwear,55.00000000000001,875,481250.00000000006,144375.00000000003,0.30000000000000004,Outlet
West Gear,1128299,44227,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,875,525000.0000000001,78750.00000000001,0.15,Outlet
West Gear,1128299,2021-02-01 00:00:00,West,California,San Francisco,Women's Street Footwear,55.00000000000001,700,385000.00000000006,115500.00000000003,0.30000000000000004,Outlet
West Gear,1128299,2021-02-02 00:00:00,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,675,371250.00000000006,92812.5,0.24999999999999997,Outlet
West Gear,1128299,2021-02-03 00:00:00,West,California,San Francisco,Men's Apparel,65,650,422500,190125.00000000003,0.45000000000000007,Outlet
West Gear,1128299,44231,West,California,San Francisco,Women's Apparel,1970-01-01 03:00:00.070000,700,490000,49000,0.1,Outlet
West Gear,1128299,44232,West,California,San Francisco,Men's Street Footwear,55.00000000000001,1970-01-01 03:00:00.875000,481250.00000000006,144375.00000000003,0.30000000000000004,Outlet
West Gear,1128299,44233,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,875,1970-01-01 03:08:45,78750.00000000001,0.15,Outlet
West Gear,1128299,44234,West,California,San Francisco,Women's Street Footwear,55.00000000000001,725,398750.00000000006,1970-01-01 03:01:59.625000,0.30000000000000004,Outlet
West Gear,1128299,44235,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,700,385000.00000000006,96250,1970-01-01 03:00:00,Outlet
West Gear,1128299,2021-02-09 00:00:00,West,California,San Francisco,Men's Apparel,65,650,422500,190125.00000000003,0.45000000000000007,Outlet
West Gear,1128299,2021-02-10 00:00:00,West,California,San Francisco,Women's Apparel,70,775,542500,54250,0.1,Outlet
West Gear,1128299,2021-02-11 00:00:00,West,California,San Francisco,Men's Street Footwear,55.00000000000001,975,536250.0000000001,160875.00000000006,0.30000000000000004,Outlet
West Gear,1970-01-01 03:18:48.299000,2021-02-12 00:00:00,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,975,585000.0000000001,87750.00000000001,0.15,Outlet
